"id","primary_name","second_name","description","create_time","update_time","classify_type","sub_classify_type","ip_version_name","protocol_name","protocol_num","port_type","port_list","tcp_flags","ip_addr_type","ip_addr_src_equal_dst","ip_addr_list"
"1","Chargen Amplification","chargen","Chargen反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","19","","SRC","",""
"2","CLDAP Amplification","cldap","CLDAP反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","389","",,"",""
"3","DNS Amplification","dns","DNS反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","53",,,,
"4","Host Total Traffic","iptraffic","目标主机所有流量","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","",,,,,,,
"5","ICMP Flood","icmp","ICMP所有流量","10/1/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","ICMP","1",,,,,,
"6","ICMP Fragment","icmpfragment","ICMP分片流量","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","ICMP","1",,,,,,
"7","IP Private Traffic","ipprivate","源地址为私有地址的流量","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","",,,,,"SRC",,"10.0.0.0/8,172.16.0.0/12,192.168.0.0/16,fc00::/7"
"8","IPv4 Protocol 0 Traffic","ipnull","IPv4协议号为0的流量","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4","HOPOPT","0",,,,,,
"9","L2TP Amplification","l2tp","L2TP反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","1701",,,,
"10","mDNS Amplification","mdns","mDNS反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","5353",,,,
"11","Memcache Amplification","memcache","Memache反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","11211",,,,
"12","MS SQL RS Amplification","mssql","微软SQL反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","1434",,,,
"13","NetBIOS Amplification","netbios","NetBIOS反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","137,138",,,,
"14","NTP Amplification","ntp","NTP反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","123",,,,
"15","QOTD Amplification","qotd","QOTD反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","17",,,,
"16","Quake3 Amplification","quake3","Quake3反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","27960",,,,
"17","RIPv1 Amplification","ripv1","RIPv1反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4","UDP","17","SRC","520",,,,
"18","Rpcbind Amplification","rpcbind","Rpcbind反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","111",,,,
"19","SNMP Amplification","snmp","SNMP反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","161",,,,
"20","SSDP Amplification","ssdp","SSDP反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","1900",,,,
"21","Steam Amplification","steam","Steam反射攻击","10/1/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","27015,27016",,,,
"22","TCP ACK Flood","tcpack","TCP ACK洪泛攻击","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","TCP","6",,,"ACK",,"",""
"23","TCP Flag Misuse","tcpflagmisuse","TCP标记错误洪泛攻击","10/1/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,"FIN,SYN,RST,PSH,ACK",,,
"24","TCP Fragment","tcpfragment","TCP分片流量","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","TCP","6",,,,,,
"25","TCP Land Flood","landattack","TCP LAND攻击","10/1/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,,,"EQUAL",
"26","TCP Null","tcpnull","TCP标记为空攻击","10/1/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,,,,
"27","TCP RST Flood","tcprst","TCP RST洪泛攻击","10/1/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,"RST",,,
"28","TCP SYN Flood","tcpsyn","TCP SYN洪泛攻击","10/1/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,"SYN",,,
"29","UDP Flood","udptraffic","UDP所有流量","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","UDP","17",,,"",,,
"30","UDP Fragment","udpfragment","UDP分片流量","10/1/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","UDP","17",,,"",,,
