src_ip_addr,attack_confidence,traffic_class,confidence_reasons,total_packets,total_bytes,packets_per_sec,bytes_per_sec,bytes_per_packet,burst_ratio,flow_duration,dst_port_count,protocol_count,flow_count,country,province,city,isp
112.0.11.161,13.34178589265366,background,行为模式异常(得分100),421176000,5148696000,703961.5974754887,8605628.670854129,12.224571200638213,1.0,598.294,1,1,168,中国,江苏,盐城市,中国移动
112.0.120.107,14.574297314172117,background,行为模式异常(得分100),684600000,6179040000,1144199.9458485565,10327281.965229426,9.025766871165644,1.0,598.322,1,1,168,中国,江苏,无锡市,中国移动
112.0.159.250,14.902035532302833,background,行为模式异常(得分100),386605000,10589637000,650467.99102884,17817203.360315233,27.39136069114471,1.0,594.349,1,1,167,中国,江苏,苏州市,中国移动
112.0.197.145,14.402088374643547,background,行为模式异常(得分100),372456000,9718800000,622538.3846521564,16244404.849854419,26.09382047812359,1.0,598.286,1,1,168,中国,江苏,连云港市,中国移动
112.0.209.59,11.443747926807529,background,行为模式异常(得分100),720384000,12355056000,1204053.4916488244,20650303.610736437,17.150652985074625,1.0,598.299,1,1,168,中国,江苏,连云港市,中国移动
112.0.219.68,13.846154753929346,background,行为模式异常(得分100),542472000,13372464000,906702.5912139744,22351103.392830577,24.65097553422112,1.0,598.291,1,1,168,中国,江苏,连云港市,中国移动
112.0.47.45,9.756278247431538,background,未检出明显异常,1164097000,21824448000,1957310.9729748815,36695594.56773766,18.74796344290897,1.9920178473099748,594.743,2,2,241,中国,江苏,南京市,中国移动
112.0.53.127,11.863819150708093,background,行为模式异常(得分67),1144978000,19894770000,1913763.6514977787,33252942.572615776,17.375678834003796,1.786607253589152,598.286,2,1,242,中国,江苏,南京市,中国移动
112.0.65.232,25.027546974689926,background,行为模式异常(得分100),1025640000,20207994000,3508968.801639462,69136559.11403362,19.702813852813854,1.0,292.291,1,1,74,中国,江苏,镇江市,中国移动
112.0.86.174,11.36524032467542,background,行为模式异常(得分100),666960000,11574696000,1114790.1578350044,19346523.30084592,17.3544080604534,1.0,598.283,1,1,168,中国,江苏,镇江市,中国移动
112.1.162.208,14.47715443549933,background,行为模式异常(得分100),423512000,11133556000,712560.9066681025,18732259.671036694,26.28864353312303,1.0,594.352,1,1,167,中国,江苏,苏州市,中国移动
112.1.193.237,15.860559259966077,background,行为模式异常(得分100),397320000,11871552000,664091.5541099565,19842437.87722028,29.87906976744186,1.0,598.291,1,1,168,中国,江苏,无锡市,中国移动
112.1.201.152,11.551809320616073,background,行为模式异常(得分100),530058000,8942182000,891829.5479591956,15045338.681481754,16.87019533711405,1.0,594.349,1,1,167,中国,江苏,无锡市,中国移动
112.1.22.58,14.802532909168619,background,行为模式异常(得分100),833448000,7324632000,1393066.4919444476,12242754.682984473,8.788349123160653,1.0,598.283,1,1,168,中国,江苏,淮安市,中国移动
112.1.229.223,14.05383101380303,background,行为模式异常(得分100),812448000,8477952000,1357959.2368867064,14170400.109646559,10.435070306038048,1.0,598.286,1,1,168,中国,江苏,徐州市,中国移动
112.1.241.222,12.848674198348707,background,行为模式异常(得分100),439377000,5933510000,739267.5248720852,9983342.895745035,13.504370961611555,1.0,594.341,1,1,167,中国,江苏,徐州市,中国移动
112.1.45.164,21.198695772679073,background,行为模式异常(得分100),619158000,16432958000,2118220.6013664,56219301.336635865,26.540815106967848,1.0,292.301,1,1,74,中国,江苏,南京市,中国移动
112.1.64.207,18.842244822771356,background,未检出明显异常,1421185000,32133917000,2388008.4149116,53994423.10471255,22.61065026720659,2.4381751847929722,595.134,2,2,241,中国,江苏,常州市,中国移动
112.1.69.232,18.364386310079293,background,未检出明显异常,1295196000,31636889000,2177440.4236540156,53186885.21834152,24.4263331572982,2.128852312700163,594.825,2,1,241,中国,江苏,常州市,中国移动
114.224.115.137,12.513609952584776,background,行为模式异常(得分100),618576000,8891400000,1033899.7215415833,14861255.503147282,14.37398153177621,1.0,598.294,1,1,168,中国,江苏,无锡市,中国电信
114.224.126.35,14.129131459355905,background,行为模式异常(得分100),661988000,6739786000,1113809.1280163405,11339835.718588162,10.181130171543895,1.0,594.346,1,1,167,中国,江苏,无锡市,中国电信
114.224.15.242,11.925094113836021,background,行为模式异常(得分100),721440000,11471898000,1213854.7425875512,19301976.31650677,15.901388888888889,1.0,594.338,1,1,167,中国,江苏,无锡市,中国电信
114.224.172.241,11.682067565930524,background,行为模式异常(得分100),571368000,10875648000,954995.370169181,18177765.44641932,19.034401646574537,1.0,598.294,1,1,168,中国,江苏,无锡市,中国电信
114.224.233.38,19.530222466581975,background,行为模式异常(得分100),779516000,15093188000,2666944.9310269323,51638069.30151083,19.362255553445983,1.0,292.288,1,1,74,中国,江苏,无锡市,中国电信
114.224.24.153,13.614276618242668,background,行为模式异常(得分100),721440000,8309085000,1213824.1078954763,13980050.576004498,11.51736111111111,1.0,594.353,1,1,167,中国,江苏,无锡市,中国电信
114.224.48.3,11.310718474184801,background,行为模式异常(得分100),760200000,13300392000,1270636.1370789409,22230937.532906666,17.495911602209944,1.0,598.283,1,1,168,中国,江苏,无锡市,中国电信
114.224.66.119,13.985630556889813,background,行为模式异常(得分100),540913000,5708561000,910108.54074863,9604890.474964624,10.55356591540599,1.0,594.339,1,1,167,中国,江苏,无锡市,中国电信
114.224.70.50,12.434140651086546,background,行为模式异常(得分100),718100000,10470065000,1208218.7816524382,17616110.81760456,14.580232558139535,1.0,594.346,1,1,167,中国,江苏,无锡市,中国电信
114.225.118.19,11.904983177280988,background,行为模式异常(得分100),498288000,9772896000,832848.064663861,16334604.726104558,19.612946729602157,1.0,598.294,1,1,168,中国,江苏,无锡市,中国电信
114.225.125.111,25.711040752055496,background,行为模式异常(得分100),815628000,21289504000,2790456.1192232426,72836423.85012248,26.101977862456906,1.0,292.292,1,1,74,中国,江苏,无锡市,中国电信
114.225.168.73,11.770609717710235,background,行为模式异常(得分100),759516000,12381881000,1277917.1482941553,20833027.952061027,16.302330694810905,1.0,594.339,1,1,167,中国,江苏,无锡市,中国电信
114.225.241.157,11.221405754564906,background,行为模式异常(得分100),384384000,6814248000,642466.7471176379,11389464.042761587,17.72770979020979,1.0,598.294,1,1,168,中国,江苏,无锡市,中国电信
114.225.51.225,12.327611062460292,background,行为模式异常(得分100),557112000,8276854000,937360.875322416,13926103.028396156,14.856714628297363,1.0,594.341,1,1,167,中国,江苏,无锡市,中国电信
114.225.73.6,13.141924047797637,background,行为模式异常(得分100),727285000,9267999000,1223687.1549738448,15593792.43159207,12.743283582089552,1.0,594.339,1,1,167,中国,江苏,无锡市,中国电信
114.225.8.122,14.32016628048994,background,行为模式异常(得分100),566798000,5489624000,953649.8941693895,9236411.11406487,9.68532704773129,1.0,594.346,1,1,167,中国,江苏,无锡市,中国电信
114.225.8.219,13.814084000799458,background,行为模式异常(得分100),552102000,6072454000,928936.0599524177,10217172.719900126,10.998790078644888,1.0,594.338,1,1,167,中国,江苏,无锡市,中国电信
121.239.110.160,11.460811692768532,background,行为模式异常(得分100),432768000,7403088000,723340.314328646,12373724.49192784,17.106366459627328,1.0,598.291,1,1,168,中国,江苏,苏州市,中国电信
121.239.114.134,12.224610494123086,background,行为模式异常(得分100),780892000,11810240000,1313878.7329159523,19871151.409712605,15.1240376390077,1.0,594.341,1,1,167,中国,江苏,苏州市,中国电信
121.239.154.55,13.150579912625705,background,行为模式异常(得分100),804552000,10234560000,1344768.2785571376,17106553.253226314,12.720818542493214,1.0,598.283,1,1,168,中国,江苏,苏州市,中国电信
121.239.183.126,12.587710688654562,background,行为模式异常(得分100),791616000,11226432000,1323137.5577273115,18764292.053813636,14.181663837011884,1.0,598.287,1,1,168,中国,江苏,苏州市,中国电信
121.239.201.132,22.232904523345617,background,行为模式异常(得分100),787878000,17774948000,2695553.70045982,60813129.516093716,22.560533483610406,1.0,292.288,1,1,74,中国,江苏,苏州市,中国电信
121.239.225.249,13.532385747303447,background,行为模式异常(得分100),438542000,10453365000,737858.8830710833,17588071.891026072,23.836633663366335,1.0,594.344,1,1,167,中国,江苏,苏州市,中国电信
121.239.244.111,23.49765054562435,background,行为模式异常(得分100),916564000,18902486000,3135792.7544809794,64670092.47633352,20.62320361698692,1.0,292.291,1,1,74,中国,江苏,苏州市,中国电信
121.239.50.9,11.968661668776086,background,行为模式异常(得分100),440212000,6950206000,740672.4422511655,11693970.296513282,15.788315629742034,1.0,594.341,1,1,167,中国,江苏,苏州市,中国电信
121.239.51.56,24.763888906384544,background,行为模式异常(得分100),1104746000,17217654000,3779920.415236753,58910701.51607948,15.585169803737692,1.0,292.267,1,1,74,中国,江苏,苏州市,中国电信
121.239.56.131,12.535921672050009,background,行为模式异常(得分100),552720000,11745552000,923843.7328154068,19632100.5276767,21.25045592705167,1.0,598.283,1,1,168,中国,江苏,苏州市,中国电信
121.239.63.5,12.105231784677587,background,行为模式异常(得分100),670656000,10350816000,1120935.9852916598,17300377.736921277,15.433867735470942,1.0,598.3,1,1,168,中国,江苏,苏州市,中国电信
121.239.88.130,13.604093771840567,background,行为模式异常(得分100),669480000,7728336000,1118944.2332955606,12916856.366389556,11.54378920953576,1.0,598.314,1,1,168,中国,江苏,苏州市,中国电信
180.101.1.62,13.896565998907818,background,行为模式异常(得分100),400299000,9920134000,673515.1251045272,16690924.264271643,24.781810596579056,1.0,594.343,1,1,167,中国,江苏,南京市,中国电信
180.101.130.163,13.201498379986852,background,行为模式异常(得分100),568802000,7160459000,957013.6165329914,12047525.788633317,12.588667058132707,1.0,594.351,1,1,167,中国,江苏,南京市,中国电信
180.101.130.171,13.215901008344272,background,行为模式异常(得分100),424200000,5324256000,709015.9687377778,8899063.002470357,12.551287128712872,1.0,598.294,1,1,168,中国,江苏,南京市,中国电信
180.101.131.56,14.693706177425597,background,行为模式异常(得分100),717192000,6250944000,1198716.363028581,10447842.219622264,8.715858514874679,1.0,598.3,1,1,168,中国,江苏,南京市,中国电信
180.101.146.47,26.39570192850937,background,行为模式异常(得分100),1061234000,21605854000,3630931.037786202,73922778.46966566,20.359179973502545,1.0,292.276,1,1,74,中国,江苏,苏州市,中国电信
180.101.154.204,18.7812026965446,background,行为模式异常(得分100),685092000,14418826000,2343789.4499163534,49328691.99900103,21.046554331389068,1.0,292.301,1,1,74,中国,江苏,常州市,中国电信
180.101.156.200,14.1141658181609,background,未检出明显异常,1515523000,24050721000,2545766.834478113,40400263.055780925,15.869584955160693,1.9931693547376055,595.311,2,2,241,中国,江苏,宿迁市,中国电信
180.101.18.175,17.710644240489376,background,行为模式异常(得分100),627372000,13376536000,2146505.3579493356,45766795.76838331,21.321538098608162,1.0,292.276,1,1,74,中国,江苏,南通市,中国电信
180.101.212.151,14.362085959077966,background,行为模式异常(得分100),589176000,5642262000,991301.3631790236,9493227.850444017,9.576530612244898,1.0,594.346,1,1,167,中国,江苏,苏州市,中国电信
180.101.231.59,21.360094566294894,background,行为模式异常(得分100),612276000,16540628000,2094676.378117078,56587654.50682687,27.014986705342036,1.0,292.301,1,1,74,中国,江苏,南京市,中国电信
180.101.232.1,26.857747928119444,background,行为模式异常(得分100),1059014000,22142946000,3623186.719947449,75757287.33304138,20.909021032771992,1.0,292.288,1,1,74,中国,江苏,南京市,中国电信
180.101.56.240,14.515278560045989,background,行为模式异常(得分100),599928000,5506704000,1002749.5349190935,9204179.293077022,9.178941472976756,1.0,598.283,1,1,168,中国,江苏,淮安市,中国电信
180.101.74.221,11.714178303167294,background,行为模式异常(得分100),529368000,10120320000,884791.3327327397,16915211.00724222,19.117740399873057,1.0,598.297,1,1,168,中国,广东,佛山市,中国电信
180.101.8.77,18.614143151566196,background,行为模式异常(得分100),795204000,14097222000,2720618.020582439,48230587.63958835,17.72780569514238,1.0,292.288,1,1,74,中国,江苏,无锡市,中国电信
180.101.83.159,12.779816390668106,background,行为模式异常(得分100),603960000,13216728000,1009465.1987223736,22090580.43078939,21.88344923504868,1.0,598.297,1,1,168,中国,江苏,苏州市,中国电信
180.96.136.244,12.308090971031202,background,未检出明显异常,1503786000,26953412000,2513372.5769412047,45048940.857141905,17.923701909713216,2.2396231910657503,598.314,2,2,242,中国,江苏,南京市,中国电信
180.96.176.248,15.441643676866896,background,行为模式异常(得分100),456792000,13151880000,763484.4784965377,21982119.308238856,28.791835233541743,1.0,598.299,1,1,168,中国,江苏,南京市,中国电信
180.96.213.26,12.069199488662985,background,行为模式异常(得分100),353706000,5492129000,595126.0057408412,9240750.212841852,15.527384324834749,1.0,594.338,1,1,167,中国,江苏,南京市,中国电信
180.96.222.117,14.677911784557345,background,行为模式异常(得分100),409584000,10980816000,684594.5173470257,18353759.984756477,26.809680065627564,1.0,598.287,1,1,168,中国,江苏,南京市,中国电信
180.96.51.47,11.692200628431177,background,行为模式异常(得分100),601534000,9928818000,1012087.1540338184,16705338.605198957,16.505830094392003,1.0,594.35,1,1,167,中国,江苏,南京市,中国电信
